player_id,player_name_x,team_x,total_runs,balls_faced,fours,sixes,innings_batted,strike_rate,boundary_runs,boundary_pct,avg_batting_pos,player_name_y,team_y,total_wickets,runs_conceded,balls_bowled,innings_bowled,overs_bowled,economy,player_name,team,role_clean,bowling_type,dashboard_role,batting_role,batting_impact,bowling_impact,allrounder_impact
P70,Andries Gous,United States Of America,219.0,145.0,20.0,11.0,6.0,151.03448275862067,146.0,66.66666666666666,2.5,,,,,,,,,Andries Gous WK-,United States,wk,unknown,Batsman,Opener,168.14367816091954,,
P71,Shayan Jahangir,United States Of America,3.0,10.0,0.0,0.0,2.0,30.0,0.0,0.0,3.5,,,,,,,,,Shayan Jahangir WK-,United States,wk,medium,Batsman,Anchor,10.5,,
P72,Ali Khan,United States Of America,14.0,8.0,1.0,1.0,2.0,175.0,10.0,71.42857142857143,9.5,Ali Khan,UNITED STATES OF AMERICA,3.0,181.0,116.0,6.0,19.333333333333332,9.362068965517242,Ali Khan,United States,bowl,fast-medium,Pacer,Not a Batter,73.78571428571429,-1.9448275862068973,43.49349753694581
P73,Jasdeep Singh,United States Of America,4.0,13.0,0.0,0.0,2.0,30.76923076923077,0.0,0.0,8.5,Jasdeep Singh,UNITED STATES OF AMERICA,1.0,121.0,72.0,4.0,12.0,10.083333333333334,Jasdeep Singh,United States,bowl,medium,Pacer,Not a Batter,11.23076923076923,-3.433333333333334,5.365128205128204
P74,Nosthush Kenjige,United States Of America,1.0,4.0,0.0,0.0,2.0,25.0,0.0,0.0,9.5,Nosthush Kenjige,UNITED STATES OF AMERICA,3.0,89.0,60.0,4.0,10.0,8.9,Nosthush Kenjige,United States,bowl,orthodox,Spinner,Not a Batter,8.0,-1.7600000000000007,4.095999999999999
P75,Netravalkar,United States Of America,0.0,5.0,0.0,0.0,2.0,0.0,0.0,,11.0,Netravalkar,UNITED STATES OF AMERICA,6.0,125.0,113.0,6.0,18.833333333333332,6.6371681415929205,Saurabh Netravalkar,United States,bowl,fast-medium,Pacer,Not a Batter,,0.9451327433628314,
P76,Tim David,Australia,61.0,41.0,5.0,3.0,5.0,148.78048780487805,38.0,62.295081967213115,6.0,,,,,,,,,Tim David,Australia,bat,offbreak,Batsman,Finisher,87.59316273490603,,
P77,Head,Australia,255.0,161.0,26.0,15.0,7.0,158.38509316770185,194.0,76.07843137254902,1.5714285714285714,,,,,,,,,Travis Head,Australia,bat,offbreak,Batsman,Opener,190.23121422482038,,
P78,Warner,Australia,178.0,128.0,17.0,9.0,7.0,139.0625,122.0,68.53932584269663,1.4285714285714286,,,,,,,,,David Warner,Australia,bat,unknown,Batsman,Opener,144.4266151685393,,
P79,Mitchell Marsh (c),Australia,125.0,107.0,13.0,5.0,7.0,116.82242990654206,82.0,65.60000000000001,3.0,,,,,,,,,Mitchell Marsh,Australia,ar,fast-medium,All-Rounder,Anchor,110.66672897196261,,
P8,Axar,India,92.0,66.0,5.0,6.0,5.0,139.3939393939394,56.0,60.86956521739131,6.4,Axar,INDIA,9.0,173.0,132.0,8.0,22.0,7.863636363636363,Axar Patel,India,ar,orthodox,All-Rounder,Finisher,99.99209486166008,2.254545454545454,60.89707509881422
P81,Maxwell,Australia,132.0,93.0,12.0,7.0,6.0,141.93548387096774,90.0,68.18181818181817,4.0,Glenn Maxwell,AUSTRALIA,3.0,103.0,72.0,5.0,12.0,8.583333333333334,Glenn Maxwell,Australia,ar,offbreak,All-Rounder,Middle Order,122.21700879765396,-1.6333333333333337,72.67687194525904
P82,Stoinis,Australia,169.0,103.0,14.0,10.0,5.0,164.07766990291262,116.0,68.63905325443787,5.0,Marcus Stoinis,AUSTRALIA,10.0,151.0,102.0,6.0,17.0,8.882352941176471,Marcus Stoinis,Australia,ar,medium,All-Rounder,Middle Order,147.45111162176136,2.4470588235294115,89.44949050246858
P83,Ashton Agar,Australia,2.0,5.0,0.0,0.0,1.0,40.0,0.0,0.0,9.0,Agar,AUSTRALIA,1.0,56.0,48.0,2.0,8.0,7.0,Ashton Agar,Australia,ar,orthodox,All-Rounder,Finisher,13.0,-2.2,6.92
P85,Wade,Australia,27.0,24.0,3.0,0.0,4.0,112.5,12.0,44.44444444444444,7.0,,,,,,,,,Matthew Wade WK-,Australia,wk,unknown,Batsman,Finisher,56.138888888888886,,
P86,Cummins,Australia,14.0,17.0,0.0,1.0,3.0,82.35294117647058,6.0,42.857142857142854,8.0,Pat Cummins,AUSTRALIA,9.0,144.0,114.0,5.0,19.0,7.578947368421052,Pat Cummins,Australia,bowl,fast,Pacer,Not a Batter,40.27731092436974,2.3684210526315783,25.113754975674475
P87,,,,,,,,,,,,Nathan Ellis,AUSTRALIA,4.0,74.0,66.0,3.0,11.0,6.7272727272727275,Nathan Ellis,Australia,bowl,fast-medium,Pacer,Not a Batter,,-0.29090909090909145,
P88,Josh Hazlewood,Australia,5.0,7.0,0.0,0.0,1.0,71.42857142857143,0.0,0.0,11.0,Josh Hazlewood,AUSTRALIA,4.0,145.0,144.0,6.0,24.0,6.041666666666667,Josh Hazlewood,Australia,bowl,fast-medium,Pacer,Not a Batter,23.928571428571427,-0.01666666666666705,14.35047619047619
P89,Mitchell Starc,Australia,4.0,7.0,0.0,0.0,2.0,57.14285714285714,0.0,0.0,9.0,Mitchell Starc,AUSTRALIA,5.0,154.0,108.0,5.0,18.0,8.555555555555555,Mitchell Starc,Australia,bowl,fast,Pacer,Not a Batter,19.142857142857142,-0.4222222222222225,11.316825396825397
P9,Rishabh Pant,India,171.0,134.0,19.0,6.0,8.0,127.61194029850746,112.0,65.49707602339181,3.0,,,,,,,,,Rishabh Pant WK-,India,wk,unknown,Batsman,Anchor,136.8829972942306,,
P90,Adam Zampa,Australia,9.0,7.0,1.0,0.0,1.0,128.57142857142858,4.0,44.44444444444444,10.0,Adam Zampa,AUSTRALIA,13.0,187.0,168.0,7.0,28.0,6.678571428571429,Adam Zampa,Australia,bowl,legbreak,Spinner,Not a Batter,51.96031746031747,5.128571428571428,33.22761904761905
P91,Michael Jones,Scotland,89.0,66.0,8.0,5.0,4.0,134.84848484848484,62.0,69.66292134831461,2.0,,,,,,,,,Michael Jones,Scotland,bat,offbreak,Batsman,Opener,98.88712972420838,,
P92,George Munsey,Scotland,124.0,89.0,8.0,9.0,4.0,139.32584269662922,86.0,69.35483870967742,1.0,,,,,,,,,George Munsey,Scotland,bat,unknown,Batsman,Opener,117.66872055092426,,
P94,Richie Berrington (c),Scotland,102.0,73.0,4.0,5.0,3.0,139.72602739726028,46.0,45.09803921568628,4.0,,,,,,,,,Richie Berrington,Scotland,ar,fast-medium,All-Rounder,Middle Order,101.93741606231534,,
P95,Michael Leask,Scotland,40.0,25.0,0.0,4.0,2.0,160.0,24.0,60.0,6.0,Michael Leask,SCOTLAND,1.0,76.0,54.0,3.0,9.0,8.444444444444445,Michael Leask,Scotland,ar,offbreak,All-Rounder,Finisher,80.0,-2.777777777777778,46.888888888888886
P96,Brandon McMullen,Scotland,140.0,82.0,13.0,8.0,3.0,170.73170731707316,100.0,71.42857142857143,3.0,,,,,,,,,Brandon McMullen,Scotland,ar,medium,All-Rounder,Anchor,135.50522648083623,,
P98,Matthew Cross,Scotland,36.0,24.0,1.0,3.0,3.0,150.0,22.0,61.111111111111114,5.0,,,,,,,,,Matthew Cross WK-,Scotland,wk,unknown,Batsman,Middle Order,75.22222222222223,,
