player_id,player_name_x,team_x,total_runs,balls_faced,fours,sixes,innings_batted,strike_rate,boundary_runs,boundary_pct,avg_batting_pos,player_name_y,team_y,total_wickets,runs_conceded,balls_bowled,innings_bowled,overs_bowled,economy,player_name,team,role_clean,bowling_type,dashboard_role,batting_role,batting_impact,bowling_impact
P180,Fazalhaq Farooqi,Afghanistan,6.0,5.0,1.0,0.0,3.0,120.0,4.0,66.66666666666666,11.0,Fazalhaq Farooqi,AFGHANISTAN,17.0,160.0,152.0,8.0,25.333333333333332,6.315789473684211,Fazalhaq Farooqi,Afghanistan,bowl,fast-medium,Pacer,Not a Batter,52.33333333333333,7.673684210526314
P13,Arshdeep Singh,India,12.0,16.0,1.0,0.0,3.0,75.0,4.0,33.33333333333333,9.0,Arshdeep Singh,INDIA,17.0,215.0,180.0,8.0,30.0,7.166666666666667,Arshdeep Singh,India,bowl,fast-medium,Pacer,Not a Batter,35.166666666666664,7.333333333333332
P14,Bumrah,India,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,10.0,Bumrah,INDIA,15.0,124.0,178.0,8.0,29.666666666666668,4.179775280898876,Jasprit Bumrah,India,bowl,fast,Pacer,Not a Batter,,7.328089887640449
P133,Anrich Nortje,South Africa,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,10.0,Nortje,SOUTH AFRICA,15.0,201.0,210.0,9.0,35.0,5.742857142857143,Anrich Nortje,South Africa,bowl,fast,Pacer,Not a Batter,30.5,6.702857142857143
P179,Naveen-ul-Haq,Afghanistan,6.0,15.0,1.0,0.0,3.0,40.0,4.0,66.66666666666666,10.0,Naveen-ul-Haq,AFGHANISTAN,13.0,160.0,160.0,8.0,26.666666666666668,6.0,Naveen-ul-Haq,Afghanistan,bowl,fast-medium,Pacer,Not a Batter,28.333333333333332,5.3999999999999995
