player_id,player_name_x,team_x,total_runs,balls_faced,fours,sixes,innings_batted,strike_rate,boundary_runs,boundary_pct,avg_batting_pos,player_name_y,team_y,total_wickets,runs_conceded,balls_bowled,innings_bowled,overs_bowled,economy,player_name,team,role_clean,bowling_type,dashboard_role,batting_role,batting_impact,bowling_impact
P286,Rishad Hossain,Bangladesh,40.0,26.0,2.0,4.0,6.0,153.84615384615387,32.0,80.0,7.5,Rishad Hossain,BANGLADESH,14.0,194.0,150.0,7.0,25.0,7.76,Rishad Hossain,Bangladesh,bowl,legbreak,Spinner,Not a Batter,82.15384615384616,5.296
P90,Adam Zampa,Australia,9.0,7.0,1.0,0.0,1.0,128.57142857142858,4.0,44.44444444444444,10.0,Adam Zampa,AUSTRALIA,13.0,187.0,168.0,7.0,28.0,6.678571428571429,Adam Zampa,Australia,bowl,legbreak,Spinner,Not a Batter,51.96031746031747,5.128571428571428
P132,Keshav Maharaj,South Africa,13.0,24.0,1.0,0.0,5.0,54.166666666666664,4.0,30.76923076923077,8.0,Maharaj,SOUTH AFRICA,11.0,175.0,168.0,8.0,28.0,6.25,Keshav Maharaj,South Africa,bowl,orthodox,Spinner,Not a Batter,28.903846153846153,4.1
P43,Adil Rashid,England,2.0,2.0,0.0,0.0,1.0,100.0,0.0,0.0,10.0,Adil Rashid,ENGLAND,10.0,186.0,168.0,8.0,28.0,6.642857142857143,Adil Rashid,England,bowl,legbreak,Spinner,Not a Batter,31.0,3.3428571428571425
P212,Akeal Hosein,West Indies,21.0,28.0,1.0,1.0,2.0,75.0,10.0,47.61904761904761,7.5,Akeal Hosein,WEST INDIES,9.0,141.0,150.0,7.0,25.0,5.64,Akeal Hosein,West Indies,bowl,orthodox,Spinner,Not a Batter,42.523809523809526,3.1439999999999997
