match,teamInnings,bowlerName,overs,maidens,runs,wickets,noBalls,wides,economy
AFGHANISTAN vs UGANDA,AFGHANISTAN,Azmatullah Omarzai,2,0,7,0,0,1,3.50
AFGHANISTAN vs UGANDA,AFGHANISTAN,Rashid Khan (c),4,0,12,2,0,0,3.00
AFGHANISTAN vs UGANDA,AFGHANISTAN,Mohammad Nabi,1,0,8,0,0,0,8.00
SCOTLAND vs ENGLAND,ENGLAND,Mark Wood,2,0,11,0,1,1,5.50
SCOTLAND vs ENGLAND,ENGLAND,Jofra Archer,2,0,12,0,0,0,6.00
SCOTLAND vs ENGLAND,ENGLAND,Moeen Ali,2,0,15,0,0,0,7.50
SCOTLAND vs ENGLAND,ENGLAND,Chris Jordan,2,0,24,0,0,0,12.00
SCOTLAND vs ENGLAND,ENGLAND,Adil Rashid,2,0,26,0,0,0,13.00
NEPAL vs NETHERLANDS,NETHERLANDS,Kingma,4,0,23,0,0,2,5.80
NEPAL vs NETHERLANDS,NETHERLANDS,Tim Pringle,4,0,20,3,0,0,5.00
NEPAL vs NETHERLANDS,NETHERLANDS,van Beek,3.2,0,18,3,0,0,5.40
NEPAL vs NETHERLANDS,NETHERLANDS,van Meekeren,4,0,19,2,0,1,4.80
NEPAL vs NETHERLANDS,NETHERLANDS,Bas de Leede,4,1,22,2,0,1,5.50
NEPAL vs NETHERLANDS,NEPAL,Karan KC,3,0,17,0,0,0,5.70
NEPAL vs NETHERLANDS,NEPAL,Sompal Kami,4,0,18,1,0,0,4.50
NEPAL vs NETHERLANDS,NEPAL,Gulsan Jha,2,0,17,0,1,0,8.50
NEPAL vs NETHERLANDS,NEPAL,Dipendra Singh Airee,2,0,6,1,0,0,3.00
NEPAL vs NETHERLANDS,NEPAL,Abinash Bohara,3.4,0,29,1,0,0,7.90
NEPAL vs NETHERLANDS,NEPAL,Sagar Dhakal,4,0,21,0,0,0,5.20
IRELAND vs INDIA,INDIA,Arshdeep Singh,4,0,35,2,1,9,8.80
IRELAND vs INDIA,INDIA,Siraj,3,0,13,1,0,0,4.30
IRELAND vs INDIA,INDIA,Bumrah,3,1,6,2,0,0,2.00
