match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
OMAN vs SCOTLAND,OMAN,6,Ayaan Khan,not out,41,39,4,0,105.13
OMAN vs SCOTLAND,OMAN,7,Mehran Khan,c Matthew Cross b Safyaan Sharif,13,10,2,0,130.00
OMAN vs SCOTLAND,OMAN,8,Rafiullah,c Safyaan Sharif b Wheal,0,3,0,0,0.00
OMAN vs SCOTLAND,OMAN,9,Shakeel Ahmed,not out,3,2,0,0,150.00
OMAN vs SCOTLAND,SCOTLAND,1,George Munsey,c Shakeel Ahmed b Mehran Khan,41,20,2,4,205.00
OMAN vs SCOTLAND,SCOTLAND,2,Michael Jones,c Mehran Khan b Bilal Khan,16,13,1,2,123.08
OMAN vs SCOTLAND,SCOTLAND,3,Brandon McMullen,not out,61,31,9,2,196.77
OMAN vs SCOTLAND,SCOTLAND,4,Richie Berrington (c),b Aqib Ilyas,13,7,1,1,185.71
OMAN vs SCOTLAND,SCOTLAND,5,Matthew Cross (wk),not out,15,8,0,2,187.50
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,1,de Kock (wk),b Tanzim Hasan Sakib,18,11,1,2,163.64
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,2,Reeza Hendricks,lbw b Tanzim Hasan Sakib,0,1,0,0,0.00
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,3,Markram (c),b Taskin Ahmed,4,8,1,0,50.00
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,4,Tristan Stubbs,c Shakib b Tanzim Hasan Sakib,0,5,0,0,0.00
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,5,Klaasen,b Taskin Ahmed,46,44,2,3,104.55
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,6,David Miller,b Rishad Hossain,29,38,1,1,76.32
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,7,Marco Jansen,not out,5,5,0,0,100.00
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,8,Maharaj,not out,4,8,0,0,50.00
SOUTH AFRICA vs BANGLADESH,BANGLADESH,1,Tanzid Hasan,c de Kock b Rabada,9,9,2,0,100.00
SOUTH AFRICA vs BANGLADESH,BANGLADESH,2,Najmul Hossain Shanto (c),c Markram b Nortje,14,23,0,1,60.87
SOUTH AFRICA vs BANGLADESH,BANGLADESH,3,Litton Das (wk),c David Miller b Maharaj,9,13,1,0,69.23
SOUTH AFRICA vs BANGLADESH,BANGLADESH,4,Shakib Al Hasan,c Markram b Nortje,3,4,0,0,75.00
SOUTH AFRICA vs BANGLADESH,BANGLADESH,5,Towhid Hridoy,lbw b Rabada,37,34,2,2,108.82
SOUTH AFRICA vs BANGLADESH,BANGLADESH,6,Mahmudullah,c Markram b Maharaj,20,27,2,0,74.07
SOUTH AFRICA vs BANGLADESH,BANGLADESH,7,Jaker Ali,c Markram b Maharaj,8,9,0,0,88.89
SOUTH AFRICA vs BANGLADESH,BANGLADESH,8,Rishad Hossain,not out,0,1,0,0,0.00
SOUTH AFRICA vs BANGLADESH,BANGLADESH,9,Taskin Ahmed,not out,1,1,0,0,100.00
CANADA vs PAKISTAN,CANADA,1,Aaron Johnson,b Naseem Shah,52,44,4,4,118.18
CANADA vs PAKISTAN,CANADA,2,Navneet Dhaliwal,b Amir,4,7,1,0,57.14
CANADA vs PAKISTAN,CANADA,3,Pargat Singh,c Fakhar Zaman b Shaheen Afridi,2,6,0,0,33.33
CANADA vs PAKISTAN,CANADA,4,Nicholas Kirton,run out (Imad Wasim),1,6,0,0,16.67
CANADA vs PAKISTAN,CANADA,5,Shreyas Movva (wk),c Rizwan b Haris Rauf,2,9,0,0,22.22
CANADA vs PAKISTAN,CANADA,6,Ravinderpal Singh,c Fakhar Zaman b Haris Rauf,0,2,0,0,0.00
CANADA vs PAKISTAN,CANADA,7,Saad Bin Zafar (c),c Rizwan b Amir,10,21,1,0,47.62
CANADA vs PAKISTAN,CANADA,8,Kaleem Sana,not out,13,14,0,1,92.86
CANADA vs PAKISTAN,CANADA,9,Dillon Heyliger,not out,9,11,1,0,81.82
CANADA vs PAKISTAN,PAKISTAN,1,Mohammad Rizwan (wk),not out,53,53,2,1,100.00
CANADA vs PAKISTAN,PAKISTAN,2,Saim Ayub,c Shreyas Movva b Dillon Heyliger,6,12,0,0,50.00
CANADA vs PAKISTAN,PAKISTAN,3,Babar Azam (c),c Shreyas Movva b Dillon Heyliger,33,33,1,1,100.00
CANADA vs PAKISTAN,PAKISTAN,4,Fakhar Zaman,c (sub)Dilpreet Bajwa b J Gordon,4,6,0,0,66.67
CANADA vs PAKISTAN,PAKISTAN,5,Usman Khan,not out,2,1,0,0,200.00
NAMIBIA vs AUSTRALIA,NAMIBIA,1,Michael van Lingen,c Maxwell b Hazlewood,10,10,2,0,100.00
NAMIBIA vs AUSTRALIA,NAMIBIA,2,Niko Davin,c Maxwell b Hazlewood,2,7,0,0,28.57
NAMIBIA vs AUSTRALIA,NAMIBIA,3,Jan Frylinck,c Mitchell Marsh b Cummins,1,6,0,0,16.67
NAMIBIA vs AUSTRALIA,NAMIBIA,4,Gerhard Erasmus (c),c Maxwell b Stoinis,36,43,4,1,83.72
NAMIBIA vs AUSTRALIA,NAMIBIA,5,Smit,lbw b Nathan Ellis,3,9,0,0,33.33
NAMIBIA vs AUSTRALIA,NAMIBIA,6,Zane Green (wk),lbw b Zampa,1,4,0,0,25.00
NAMIBIA vs AUSTRALIA,NAMIBIA,7,Wiese,c Hazlewood b Zampa,1,7,0,0,14.29
NAMIBIA vs AUSTRALIA,NAMIBIA,8,Trumpelmann,c Maxwell b Zampa,7,7,0,1,100.00
NAMIBIA vs AUSTRALIA,NAMIBIA,9,Bernard Scholtz,b Zampa,0,2,0,0,0.00
NAMIBIA vs AUSTRALIA,NAMIBIA,10,Jack Brassell,not out,2,3,0,0,66.67
NAMIBIA vs AUSTRALIA,NAMIBIA,11,Ben Shikongo,c Tim David b Stoinis,0,4,0,0,0.00
NAMIBIA vs AUSTRALIA,AUSTRALIA,1,David Warner,c Trumpelmann b Wiese,20,8,3,1,250.00
NAMIBIA vs AUSTRALIA,AUSTRALIA,2,Travis Head,not out,34,17,5,2,200.00
NAMIBIA vs AUSTRALIA,AUSTRALIA,3,Mitchell Marsh (c),not out,18,9,3,1,200.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,1,Shayan Jahangir,lbw b Arshdeep Singh,0,1,0,0,0.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,2,Steven Taylor,b Axar,24,30,0,2,80.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,3,Andries Gous (wk),c Hardik Pandya b Arshdeep Singh,2,5,0,0,40.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,4,Aaron Jones (c),c Siraj b Hardik Pandya,11,22,0,1,50.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,5,NR Kumar,c Siraj b Arshdeep Singh,27,23,2,1,117.39
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,6,CJ Anderson,c Pant b Hardik Pandya,15,12,1,1,125.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,7,Harmeet Singh,c Pant b Arshdeep Singh,10,10,0,1,100.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,8,van Schalkwyk,not out,11,10,1,0,110.00
UNITED STATES OF AMERICA vs INDIA,UNITED STATES OF AMERICA,9,Jasdeep Singh,run out (Pant/Siraj),2,7,0,0,28.57
UNITED STATES OF AMERICA vs INDIA,INDIA,1,Rohit Sharma (c),c Harmeet Singh b Netravalkar,3,6,0,0,50.00
UNITED STATES OF AMERICA vs INDIA,INDIA,2,Virat Kohli,c Andries Gous b Netravalkar,0,1,0,0,0.00
UNITED STATES OF AMERICA vs INDIA,INDIA,3,Rishabh Pant (wk),b Ali Khan,18,20,1,1,90.00
UNITED STATES OF AMERICA vs INDIA,INDIA,4,Suryakumar Yadav,not out,50,49,2,2,102.04
UNITED STATES OF AMERICA vs INDIA,INDIA,5,Shivam Dube,not out,31,35,1,1,88.57
WEST INDIES vs NEW ZEALAND,WEST INDIES,1,Brandon King,c Conway b Neesham,9,12,0,1,75.00
WEST INDIES vs NEW ZEALAND,WEST INDIES,2,J Charles,b Boult,0,5,0,0,0.00
