match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
SCOTLAND vs AUSTRALIA,SCOTLAND,5,Matthew Cross (wk),c Agar b Maxwell,18,11,1,1,163.64
SCOTLAND vs AUSTRALIA,SCOTLAND,6,Michael Leask,c Mitchell Starc b Nathan Ellis,5,8,0,0,62.50
SCOTLAND vs AUSTRALIA,SCOTLAND,7,Chris Greaves,not out,9,10,0,0,90.00
SCOTLAND vs AUSTRALIA,AUSTRALIA,1,Travis Head,c Michael Jones b Safyaan Sharif,68,49,5,4,138.78
SCOTLAND vs AUSTRALIA,AUSTRALIA,2,David Warner,c Berrington b Wheal,1,4,0,0,25.00
SCOTLAND vs AUSTRALIA,AUSTRALIA,3,Mitchell Marsh (c),c (sub)Charlie Tear b Safyaan Sharif,8,9,1,0,88.89
SCOTLAND vs AUSTRALIA,AUSTRALIA,4,Glenn Maxwell,b Mark Watt,11,8,0,1,137.50
SCOTLAND vs AUSTRALIA,AUSTRALIA,5,Marcus Stoinis,b Mark Watt,59,29,9,2,203.45
SCOTLAND vs AUSTRALIA,AUSTRALIA,6,Tim David,not out,24,14,2,1,171.43
SCOTLAND vs AUSTRALIA,AUSTRALIA,7,Matthew Wade (wk),not out,4,5,0,0,80.00
IRELAND vs PAKISTAN,IRELAND,1,Balbirnie,b Shaheen Afridi,0,3,0,0,0.00
IRELAND vs PAKISTAN,IRELAND,2,Stirling (c),c Rizwan b Amir,1,2,0,0,50.00
IRELAND vs PAKISTAN,IRELAND,3,Lorcan Tucker (wk),c Rizwan b Shaheen Afridi,2,2,0,0,100.00
IRELAND vs PAKISTAN,IRELAND,4,Harry Tector,lbw b Shaheen Afridi,0,6,0,0,0.00
IRELAND vs PAKISTAN,IRELAND,5,Curtis Campher,c Saim Ayub b Haris Rauf,7,14,1,0,50.00
IRELAND vs PAKISTAN,IRELAND,6,Dockrell,c and b Amir,11,10,2,0,110.00
IRELAND vs PAKISTAN,IRELAND,7,Delany,c Shadab Khan b Imad Wasim,31,19,1,3,163.16
IRELAND vs PAKISTAN,IRELAND,8,Mark Adair,c Shaheen Afridi b Imad Wasim,15,19,2,0,78.95
IRELAND vs PAKISTAN,IRELAND,9,Barry McCarthy,b Imad Wasim,2,7,0,0,28.57
IRELAND vs PAKISTAN,IRELAND,10,Joshua Little,not out,22,18,2,1,122.22
IRELAND vs PAKISTAN,IRELAND,11,Benjamin White,not out,5,20,0,0,25.00
IRELAND vs PAKISTAN,PAKISTAN,1,Mohammad Rizwan (wk),c Mark Adair b Barry McCarthy,17,16,3,0,106.25
IRELAND vs PAKISTAN,PAKISTAN,2,Saim Ayub,c Lorcan Tucker b Mark Adair,17,17,2,1,100.00
IRELAND vs PAKISTAN,PAKISTAN,3,Babar Azam (c),not out,32,34,2,0,94.12
IRELAND vs PAKISTAN,PAKISTAN,4,Fakhar Zaman,c (sub)Ross Adair b Curtis Campher,5,9,0,0,55.56
IRELAND vs PAKISTAN,PAKISTAN,5,Usman Khan,c Harry Tector b Barry McCarthy,2,3,0,0,66.67
IRELAND vs PAKISTAN,PAKISTAN,6,Shadab Khan,c Lorcan Tucker b Barry McCarthy,0,2,0,0,0.00
IRELAND vs PAKISTAN,PAKISTAN,7,Imad Wasim,c Harry Tector b Curtis Campher,4,6,1,0,66.67
IRELAND vs PAKISTAN,PAKISTAN,8,Abbas Afridi,c (sub)Ross Adair b Benjamin White,17,21,1,1,80.95
IRELAND vs PAKISTAN,PAKISTAN,9,Shaheen Afridi,not out,13,5,0,2,260.00
BANGLADESH vs NEPAL,BANGLADESH,1,Tanzid Hasan,c and b Sompal Kami,0,1,0,0,0.00
BANGLADESH vs NEPAL,BANGLADESH,2,Litton Das (wk),c Aasif Sheikh b Sompal Kami,10,12,1,0,83.33
BANGLADESH vs NEPAL,BANGLADESH,3,Shanto (c),b Dipendra Singh,4,5,0,0,80.00
BANGLADESH vs NEPAL,BANGLADESH,4,Shakib,lbw b Rohit Paudel,17,22,2,0,77.27
BANGLADESH vs NEPAL,BANGLADESH,5,Towhid Hridoy,c Lamichhane b Rohit Paudel,9,7,2,0,128.57
BANGLADESH vs NEPAL,BANGLADESH,6,Mahmudullah,run out (Gulsan Jha/Lamichhane),13,13,2,0,100.00
BANGLADESH vs NEPAL,BANGLADESH,7,Jaker Ali,b Lamichhane,12,26,0,0,46.15
BANGLADESH vs NEPAL,BANGLADESH,8,Tanzim Hasan Sakib,b Lamichhane,3,5,0,0,60.00
BANGLADESH vs NEPAL,BANGLADESH,9,Rishad Hossain,c Anil Sah b Dipendra Singh,13,7,1,1,185.71
BANGLADESH vs NEPAL,BANGLADESH,10,Taskin Ahmed,not out,12,15,2,0,80.00
BANGLADESH vs NEPAL,BANGLADESH,11,Mustafizur,run out (Rohit Paudel/Dipendra Singh),3,4,0,0,75.00
BANGLADESH vs NEPAL,NEPAL,1,Kushal Bhurtel,b Tanzim Hasan Sakib,4,8,1,0,50.00
BANGLADESH vs NEPAL,NEPAL,2,Aasif Sheikh (wk),c Shakib b Mustafizur,17,14,4,0,121.43
BANGLADESH vs NEPAL,NEPAL,3,Anil Sah,c Shanto b Tanzim Hasan Sakib,0,2,0,0,0.00
BANGLADESH vs NEPAL,NEPAL,4,Rohit Paudel (c),c Rishad Hossain b Tanzim Hasan Sakib,1,6,0,0,16.67
BANGLADESH vs NEPAL,NEPAL,5,Sundeep Jora,c Rishad Hossain b Tanzim Hasan Sakib,1,8,0,0,12.50
BANGLADESH vs NEPAL,NEPAL,6,Kushal Malla,c Shanto b Mustafizur,27,40,1,1,67.50
BANGLADESH vs NEPAL,NEPAL,7,Dipendra Singh Airee,c Litton Das b Mustafizur,25,31,2,1,80.65
BANGLADESH vs NEPAL,NEPAL,8,Gulsan Jha,c Towhid Hridoy b Taskin Ahmed,0,4,0,0,0.00
BANGLADESH vs NEPAL,NEPAL,9,Sompal Kami,st Litton Das b Shakib,0,2,0,0,0.00
BANGLADESH vs NEPAL,NEPAL,10,Sandeep Lamichhane,not out,0,0,0,0,0.00
BANGLADESH vs NEPAL,NEPAL,11,Abinash Bohara,lbw b Shakib,0,1,0,0,0.00
SRI LANKA vs NETHERLANDS,SRI LANKA,1,Pathum Nissanka,c Sybrand Engelbrecht b Kingma,0,2,0,0,0.00
SRI LANKA vs NETHERLANDS,SRI LANKA,2,Kusal Mendis (wk),c Sybrand Engelbrecht b Aryan Dutt,46,29,5,0,158.62
SRI LANKA vs NETHERLANDS,SRI LANKA,3,Kamindu Mendis,c van Beek b van Meekeren,17,20,1,1,85.00
SRI LANKA vs NETHERLANDS,SRI LANKA,4,Dhananjaya de Silva,c Bas de Leede b Tim Pringle,34,26,3,1,130.77
SRI LANKA vs NETHERLANDS,SRI LANKA,5,Asalanka,c Bas de Leede b van Beek,46,21,1,5,219.05
SRI LANKA vs NETHERLANDS,SRI LANKA,6,Mathews,not out,30,15,1,2,200.00
SRI LANKA vs NETHERLANDS,SRI LANKA,7,Shanaka,c Edwards b van Beek,0,1,0,0,0.00
SRI LANKA vs NETHERLANDS,SRI LANKA,8,W Hasaranga (c),not out,20,6,1,2,333.33
SRI LANKA vs NETHERLANDS,NETHERLANDS,1,Michael Levitt,st Kusal Mendis b M Theekshana,31,23,2,3,134.78
SRI LANKA vs NETHERLANDS,NETHERLANDS,2,Max ODowd,c Kamindu Mendis b N Thushara,11,8,0,1,137.50
SRI LANKA vs NETHERLANDS,NETHERLANDS,3,Vikramjit Singh,c Kamindu Mendis b Shanaka,7,10,0,0,70.00
SRI LANKA vs NETHERLANDS,NETHERLANDS,4,Sybrand Engelbrecht,c Asalanka b Matheesha Pathirana,11,9,0,1,122.22
SRI LANKA vs NETHERLANDS,NETHERLANDS,5,Scott Edwards (c & wk),c M Theekshana b N Thushara,31,24,2,1,129.17
SRI LANKA vs NETHERLANDS,NETHERLANDS,6,Bas de Leede,c Asalanka b W Hasaranga,3,5,0,0,60.00
SRI LANKA vs NETHERLANDS,NETHERLANDS,7,Logan van Beek,run out (Kusal Mendis),0,1,0,0,0.00
SRI LANKA vs NETHERLANDS,NETHERLANDS,8,Tim Pringle,st Kusal Mendis b W Hasaranga,2,4,0,0,50.00
SRI LANKA vs NETHERLANDS,NETHERLANDS,9,Aryan Dutt,b Matheesha Pathirana,10,8,1,0,125.00
SRI LANKA vs NETHERLANDS,NETHERLANDS,10,Paul van Meekeren,lbw b N Thushara,3,8,0,0,37.50
SRI LANKA vs NETHERLANDS,NETHERLANDS,11,Vivian Kingma,not out,1,1,0,0,100.00
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,1,Tony Ura,c Glenn Phillips b Southee,1,2,0,0,50.00
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,2,Assad Vala (c),c Daryl Mitchell b Lockie Ferguson,6,16,1,0,37.50
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,3,Charles Amini,lbw b Lockie Ferguson,17,25,2,0,68.00
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,4,Sese Bau,c Finn Allen b Santner,12,27,1,0,44.44
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,5,Hiri Hiri,b Boult,7,11,1,0,63.64
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,6,Chad Soper,b Lockie Ferguson,1,6,0,0,16.67
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,7,Kiplin Doriga (wk),b Southee,5,7,1,0,71.43
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,8,Norman Vanua,c Daryl Mitchell b Boult,14,13,1,1,107.69
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,9,Alei Nao,c Daryl Mitchell b Ish Sodhi,3,7,0,0,42.86
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,10,Kabua Morea,st Conway b Ish Sodhi,0,3,0,0,0.00
PAPUA NEW GUINEA vs NEW ZEALAND,PAPUA NEW GUINEA,11,Semo Kamea,not out,1,1,0,0,100.00
PAPUA NEW GUINEA vs NEW ZEALAND,NEW ZEALAND,1,Finn Allen,c Kiplin Doriga b Kabua Morea,0,2,0,0,0.00
PAPUA NEW GUINEA vs NEW ZEALAND,NEW ZEALAND,2,Devon Conway (wk),lbw b Semo Kamea,35,32,2,3,109.38
PAPUA NEW GUINEA vs NEW ZEALAND,NEW ZEALAND,3,Rachin Ravindra,c Semo Kamea b Kabua Morea,6,11,0,0,54.55
PAPUA NEW GUINEA vs NEW ZEALAND,NEW ZEALAND,4,Kane Williamson (c),not out,18,17,2,0,105.88
PAPUA NEW GUINEA vs NEW ZEALAND,NEW ZEALAND,5,Daryl Mitchell,not out,19,12,3,0,158.33
WEST INDIES vs AFGHANISTAN,WEST INDIES,1,Brandon King,b Azmatullah,7,6,1,0,116.67
WEST INDIES vs AFGHANISTAN,WEST INDIES,2,J Charles,c Gulbadin b Naveen-ul-Haq,43,27,8,0,159.26
WEST INDIES vs AFGHANISTAN,WEST INDIES,3,Pooran (wk),run out (Azmatullah),98,53,6,8,184.91
WEST INDIES vs AFGHANISTAN,WEST INDIES,4,Shai Hope,c Najibullah b Gulbadin,25,17,0,2,147.06
WEST INDIES vs AFGHANISTAN,WEST INDIES,5,Rovman Powell (c),c (sub)Nangeyalia Kharote b Gulbadin,26,15,1,2,173.33
WEST INDIES vs AFGHANISTAN,WEST INDIES,6,Russell,not out,3,3,0,0,100.00
WEST INDIES vs AFGHANISTAN,WEST INDIES,7,Sherfane Rutherford,not out,1,1,0,0,100.00
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,1,Rahmanullah Gurbaz (wk),c Russell b Akeal Hosein,0,3,0,0,0.00
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,2,Ibrahim Zadran,c J Charles b Obed McCoy,38,28,5,1,135.71
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,3,Gulbadin Naib,lbw b Motie,7,10,1,0,70.00
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,4,Azmatullah Omarzai,c Rovman Powell b Akeal Hosein,23,19,1,1,121.05
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,5,Najibullah Zadran,c J Charles b Obed McCoy,0,2,0,0,0.00
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,6,Mohammad Nabi,b Obed McCoy,1,4,0,0,25.00
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,7,Karim Janat,run out (Brandon King/Akeal Hosein),14,9,0,1,155.56
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,8,Rashid Khan (c),c Rovman Powell b Russell,18,11,2,1,163.64
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,9,Noor Ahmad,c Sherfane Rutherford b Motie,2,4,0,0,50.00
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,10,Naveen-ul-Haq,c Pooran b Alzarri Joseph,4,6,1,0,66.67
WEST INDIES vs AFGHANISTAN,AFGHANISTAN,11,Fazalhaq Farooqi,not out,0,2,0,0,0.00
SOUTH AFRICA vs UNITED STATES OF AMERICA,SOUTH AFRICA,1,de Kock (wk),c Shayan Jahangir b Harmeet Singh,74,40,7,5,185.00
SOUTH AFRICA vs UNITED STATES OF AMERICA,SOUTH AFRICA,2,Reeza Hendricks,c CJ Anderson b Netravalkar,11,11,0,1,100.00
SOUTH AFRICA vs UNITED STATES OF AMERICA,SOUTH AFRICA,3,Markram (c),c Ali Khan b Netravalkar,46,32,4,1,143.75
SOUTH AFRICA vs UNITED STATES OF AMERICA,SOUTH AFRICA,4,David Miller,c and b Harmeet Singh,0,1,0,0,0.00
SOUTH AFRICA vs UNITED STATES OF AMERICA,SOUTH AFRICA,5,Klaasen,not out,36,22,0,3,163.64
SOUTH AFRICA vs UNITED STATES OF AMERICA,SOUTH AFRICA,6,Tristan Stubbs,not out,20,16,2,0,125.00
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,1,Steven Taylor,c Klaasen b Rabada,24,14,4,1,171.43
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,2,Andries Gous (wk),not out,80,47,5,5,170.21
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,3,Nitish Kumar,c Tristan Stubbs b Rabada,8,6,0,1,133.33
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,4,Aaron Jones (c),c de Kock b Maharaj,0,5,0,0,0.00
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,5,Corey Anderson,b Nortje,12,12,0,1,100.00
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,6,Shayan Jahangir,lbw b Shamsi,3,9,0,0,33.33
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,7,Harmeet Singh,c Tristan Stubbs b Rabada,38,22,2,3,172.73
SOUTH AFRICA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,8,Jasdeep Singh,not out,2,6,0,0,33.33
WEST INDIES vs ENGLAND,WEST INDIES,1,Brandon King,retd hurt,23,13,3,1,176.92
WEST INDIES vs ENGLAND,WEST INDIES,2,J Charles,c Harry Brook b Moeen,38,34,4,1,111.76
WEST INDIES vs ENGLAND,WEST INDIES,3,Pooran (wk),c Jos Buttler b Jofra Archer,36,32,4,1,112.50
WEST INDIES vs ENGLAND,WEST INDIES,4,Rovman Powell (c),c Mark Wood b Livingstone,36,17,0,5,211.76
WEST INDIES vs ENGLAND,WEST INDIES,5,Russell,c Salt b Adil Rashid,1,2,0,0,50.00
WEST INDIES vs ENGLAND,WEST INDIES,6,Sherfane Rutherford,not out,28,15,1,2,186.67
WEST INDIES vs ENGLAND,WEST INDIES,7,Romario Shepherd,not out,5,7,1,0,71.43
WEST INDIES vs ENGLAND,ENGLAND,1,Philip Salt,not out,87,47,7,5,185.11
WEST INDIES vs ENGLAND,ENGLAND,2,Jos Buttler (c & wk),lbw b Roston Chase,25,22,2,0,113.64
WEST INDIES vs ENGLAND,ENGLAND,3,Moeen Ali,c J Charles b Russell,13,10,2,0,130.00
WEST INDIES vs ENGLAND,ENGLAND,4,Jonny Bairstow,not out,48,26,5,2,184.62
INDIA vs AFGHANISTAN,INDIA,1,Rohit (c),c Rashid Khan b Fazalhaq Farooqi,8,13,1,0,61.54
INDIA vs AFGHANISTAN,INDIA,2,Kohli,c Nabi b Rashid Khan,24,24,0,1,100.00
INDIA vs AFGHANISTAN,INDIA,3,Pant (wk),lbw b Rashid Khan,20,11,4,0,181.82
INDIA vs AFGHANISTAN,INDIA,4,Suryakumar Yadav,c Nabi b Fazalhaq Farooqi,53,28,5,3,189.29
INDIA vs AFGHANISTAN,INDIA,5,Shivam Dube,lbw b Rashid Khan,10,7,0,1,142.86
INDIA vs AFGHANISTAN,INDIA,6,Hardik Pandya,c Azmatullah b Naveen-ul-Haq,32,24,3,2,133.33
INDIA vs AFGHANISTAN,INDIA,7,Ravindra Jadeja,c Gulbadin b Fazalhaq Farooqi,7,5,1,0,140.00
INDIA vs AFGHANISTAN,INDIA,8,Axar,run out (Gurbaz/Naveen-ul-Haq),12,6,2,0,200.00
INDIA vs AFGHANISTAN,INDIA,9,Arshdeep Singh,not out,2,2,0,0,100.00
INDIA vs AFGHANISTAN,AFGHANISTAN,1,Rahmanullah Gurbaz (wk),c Pant b Bumrah,11,8,1,1,137.50
INDIA vs AFGHANISTAN,AFGHANISTAN,2,Hazratullah Zazai,c Ravindra Jadeja b Bumrah,2,4,0,0,50.00
INDIA vs AFGHANISTAN,AFGHANISTAN,3,Ibrahim Zadran,c Rohit b Axar,8,11,1,0,72.73
INDIA vs AFGHANISTAN,AFGHANISTAN,4,Gulbadin Naib,c Pant b Kuldeep Yadav,17,21,1,1,80.95
INDIA vs AFGHANISTAN,AFGHANISTAN,5,Azmatullah Omarzai,c Axar b Ravindra Jadeja,26,20,2,1,130.00
INDIA vs AFGHANISTAN,AFGHANISTAN,6,Najibullah Zadran,c Arshdeep Singh b Bumrah,19,17,0,2,111.76
INDIA vs AFGHANISTAN,AFGHANISTAN,7,Mohammad Nabi,c Ravindra Jadeja b Kuldeep Yadav,14,14,0,1,100.00
INDIA vs AFGHANISTAN,AFGHANISTAN,8,Rashid Khan (c),c Ravindra Jadeja b Arshdeep Singh,2,6,0,0,33.33
INDIA vs AFGHANISTAN,AFGHANISTAN,9,Noor Ahmad,c Rohit b Arshdeep Singh,12,18,1,1,66.67
INDIA vs AFGHANISTAN,AFGHANISTAN,10,Naveen-ul-Haq,c Pant b Arshdeep Singh,0,1,0,0,0.00
INDIA vs AFGHANISTAN,AFGHANISTAN,11,Fazalhaq Farooqi,not out,4,1,1,0,400.00
BANGLADESH vs AUSTRALIA,BANGLADESH,1,Tanzid Hasan,b Mitchell Starc,0,3,0,0,0.00
BANGLADESH vs AUSTRALIA,BANGLADESH,2,Litton Das (wk),b Zampa,16,25,2,0,64.00
BANGLADESH vs AUSTRALIA,BANGLADESH,3,Shanto (c),lbw b Zampa,41,36,5,1,113.89
BANGLADESH vs AUSTRALIA,BANGLADESH,4,Rishad Hossain,c Zampa b Maxwell,2,4,0,0,50.00
BANGLADESH vs AUSTRALIA,BANGLADESH,5,Towhid Hridoy,c Hazlewood b Cummins,40,28,2,2,142.86
BANGLADESH vs AUSTRALIA,BANGLADESH,6,Shakib,c and b Stoinis,8,10,0,0,80.00
BANGLADESH vs AUSTRALIA,BANGLADESH,7,Mahmudullah,b Cummins,2,3,0,0,66.67
BANGLADESH vs AUSTRALIA,BANGLADESH,8,Mahedi Hasan,c Zampa b Cummins,0,1,0,0,0.00
BANGLADESH vs AUSTRALIA,BANGLADESH,9,Taskin Ahmed,not out,13,7,1,0,185.71
BANGLADESH vs AUSTRALIA,BANGLADESH,10,Tanzim Hasan Sakib,not out,4,3,0,0,133.33
BANGLADESH vs AUSTRALIA,AUSTRALIA,1,David Warner,not out,53,35,5,3,151.43
BANGLADESH vs AUSTRALIA,AUSTRALIA,2,Travis Head,b Rishad Hossain,31,21,3,2,147.62
BANGLADESH vs AUSTRALIA,AUSTRALIA,3,Mitchell Marsh (c),lbw b Rishad Hossain,1,6,0,0,16.67
BANGLADESH vs AUSTRALIA,AUSTRALIA,4,Glenn Maxwell,not out,14,6,1,1,233.33
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,1,Reeza Hendricks,c Harry Brook b Moeen,19,25,1,0,76.00
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,2,de Kock (wk),c Jos Buttler b Jofra Archer,65,38,4,4,171.05
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,3,Klaasen,run out (Jos Buttler),8,13,1,0,61.54
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,4,David Miller,c Harry Brook b Jofra Archer,43,28,4,2,153.57
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,5,Markram (c),b Adil Rashid,1,2,0,0,50.00
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,6,Tristan Stubbs,not out,12,11,1,0,109.09
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,7,Marco Jansen,c Sam Curran b Jofra Archer,0,1,0,0,0.00
SOUTH AFRICA vs ENGLAND,SOUTH AFRICA,8,Maharaj,not out,5,2,1,0,250.00
SOUTH AFRICA vs ENGLAND,ENGLAND,1,Philip Salt,c Reeza Hendricks b Rabada,11,8,1,1,137.50
SOUTH AFRICA vs ENGLAND,ENGLAND,2,Jos Buttler (c & wk),c Klaasen b Maharaj,17,20,1,0,85.00
SOUTH AFRICA vs ENGLAND,ENGLAND,3,Jonny Bairstow,c Nortje b Maharaj,16,20,1,0,80.00
SOUTH AFRICA vs ENGLAND,ENGLAND,4,Moeen Ali,c Maharaj b Ottneil Baartman,9,10,0,0,90.00
SOUTH AFRICA vs ENGLAND,ENGLAND,5,Harry Brook,c Markram b Nortje,53,37,7,0,143.24
SOUTH AFRICA vs ENGLAND,ENGLAND,6,Liam Livingstone,c Tristan Stubbs b Rabada,33,17,3,2,194.12
SOUTH AFRICA vs ENGLAND,ENGLAND,7,Sam Curran,not out,10,7,1,0,142.86
SOUTH AFRICA vs ENGLAND,ENGLAND,8,Jofra Archer,not out,1,2,0,0,50.00
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,1,Steven Taylor,c Roston Chase b Russell,2,7,0,0,28.57
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,2,Andries Gous (wk),c Shai Hope b Alzarri Joseph,29,16,3,1,181.25
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,3,NR Kumar,lbw b Motie,20,19,2,0,105.26
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,4,Aaron Jones (c),b Roston Chase,11,11,0,1,100.00
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,5,CJ Anderson,lbw b Roston Chase,7,15,0,0,46.67
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,6,Milind Kumar,run out (Motie/Russell),19,21,1,0,90.48
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,7,Harmeet Singh,c J Charles b Roston Chase,0,1,0,0,0.00
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,8,van Schalkwyk,c J Charles b Russell,18,17,3,0,105.88
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,9,Nosthush Kenjige,c Pooran b Alzarri Joseph,1,3,0,0,33.33
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,10,Ali Khan,not out,14,6,1,1,233.33
UNITED STATES OF AMERICA vs WEST INDIES,UNITED STATES OF AMERICA,11,Netravalkar,c Rovman Powell b Russell,0,4,0,0,0.00
UNITED STATES OF AMERICA vs WEST INDIES,WEST INDIES,1,Shai Hope,not out,82,39,4,8,210.26
UNITED STATES OF AMERICA vs WEST INDIES,WEST INDIES,2,Johnson Charles,c Milind Kumar b Harmeet Singh,15,14,2,0,107.14
UNITED STATES OF AMERICA vs WEST INDIES,WEST INDIES,3,Nicholas Pooran (wk),not out,27,12,1,3,225.00
INDIA vs BANGLADESH,INDIA,1,Rohit (c),c Jaker Ali b Shakib,23,11,3,1,209.09
INDIA vs BANGLADESH,INDIA,2,Kohli,b Tanzim Hasan Sakib,37,28,1,3,132.14
INDIA vs BANGLADESH,INDIA,3,Pant (wk),c Tanzim Hasan Sakib b Rishad Hossain,36,24,4,2,150.00
INDIA vs BANGLADESH,INDIA,4,Suryakumar Yadav,c Litton Das b Tanzim Hasan Sakib,6,2,0,1,300.00
INDIA vs BANGLADESH,INDIA,5,Shivam Dube,b Rishad Hossain,34,24,0,3,141.67
INDIA vs BANGLADESH,INDIA,6,Hardik Pandya,not out,50,27,4,3,185.19
INDIA vs BANGLADESH,INDIA,7,Axar,not out,3,5,0,0,60.00
INDIA vs BANGLADESH,BANGLADESH,1,Litton Das (wk),c Suryakumar Yadav b Hardik Pandya,13,10,1,1,130.00
INDIA vs BANGLADESH,BANGLADESH,2,Tanzid Hasan,lbw b Kuldeep Yadav,29,31,4,0,93.55
INDIA vs BANGLADESH,BANGLADESH,3,Najmul Hossain Shanto (c),c Arshdeep Singh b Bumrah,40,32,1,3,125.00
INDIA vs BANGLADESH,BANGLADESH,4,Towhid Hridoy,lbw b Kuldeep Yadav,4,6,0,0,66.67
INDIA vs BANGLADESH,BANGLADESH,5,Shakib Al Hasan,c Rohit b Kuldeep Yadav,11,7,1,1,157.14
INDIA vs BANGLADESH,BANGLADESH,6,Mahmudullah,c Axar b Arshdeep Singh,13,15,1,0,86.67
INDIA vs BANGLADESH,BANGLADESH,7,Jaker Ali,c Kohli b Arshdeep Singh,1,4,0,0,25.00
INDIA vs BANGLADESH,BANGLADESH,8,Rishad Hossain,c Rohit b Bumrah,24,10,1,3,240.00
INDIA vs BANGLADESH,BANGLADESH,9,Mahedi Hasan,not out,5,4,1,0,125.00
INDIA vs BANGLADESH,BANGLADESH,10,Tanzim Hasan Sakib,not out,1,1,0,0,100.00
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,1,Gurbaz (wk),c Warner b Stoinis,60,49,4,4,122.45
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,2,Ibrahim Zadran,c Mitchell Marsh b Zampa,51,48,6,0,106.25
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,3,Azmatullah,b Zampa,2,3,0,0,66.67
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,4,Karim Janat,c Tim David b Cummins,13,9,0,1,144.44
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,5,Rashid Khan (c),c Tim David b Cummins,2,5,0,0,40.00
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,6,Nabi,not out,10,4,2,0,250.00
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,7,Gulbadin,c Maxwell b Cummins,0,1,0,0,0.00
AFGHANISTAN vs AUSTRALIA,AFGHANISTAN,8,Nangeyalia Kharote,not out,1,1,0,0,100.00
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,1,Travis Head,b Naveen-ul-Haq,0,3,0,0,0.00
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,2,David Warner,c Noor Ahmad b Nabi,3,8,0,0,37.50
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,3,Mitchell Marsh (c),c Nabi b Naveen-ul-Haq,12,9,2,0,133.33
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,4,Glenn Maxwell,c Noor Ahmad b Gulbadin,59,41,6,3,143.90
