image,player_name,team,role,batting_style,bowling_style
https://static.cricbuzz.com/a/img/v1/i1/c182026/jack-jarvis.jpg?d=low&p=gthumb,"Jack Jarvis
Bowling Allrounder",Scotland,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244690/matthew-cross.jpg?d=low&p=gthumb,"Matthew Cross
WK-Batsman",Scotland,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/charlie-tear.jpg?d=low&p=gthumb,"Charlie Tear
WK-Batsman",Scotland,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244682/chris-greaves.jpg?d=low&p=gthumb,"Chris Greaves
Bowler",Scotland,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c244694/safyaan-sharif.jpg?d=low&p=gthumb,"Safyaan Sharif
Bowler",Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244684/christopher-sole.jpg?d=low&p=gthumb,"Christopher Sole
Bowler",Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244687/mark-watt.jpg?d=low&p=gthumb,"Mark Watt
Bowler",Scotland,Bowler,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c244685/brad-wheal.jpg?d=low&p=gthumb,"Brad Wheal
Bowler",Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/brad-currie.jpg?d=low&p=gthumb,"Brad Currie
Bowler",Scotland,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/kashyap-prajapati.jpg?d=low&p=gthumb,"Kashyap Prajapati
Batsman",Oman,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/shoaib-khan.jpg?d=low&p=gthumb,"Shoaib Khan
Batsman",Oman,Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c154944/mehran-khan.jpg?d=low&p=gthumb,"Mehran Khan
Batsman",Oman,Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/khalid-kail.jpg?d=low&p=gthumb,"Khalid Kail
Batsman",Oman,Batsman,Right Handed Bat,
