player_id,image,player_name,team,role,batting_style,bowling_style,role_clean,batting_style_clean,bowling_arm,bowling_type,player_name_clean
P258,https://static.cricbuzz.com/a/img/v1/i1/c244629/bernard-scholtz.jpg?d=low&p=gthumb,Bernard Scholtz,Namibia,Bowler,Right Handed Bat,Left-arm orthodox,bowl,RHB,Left,orthodox,bernard scholtz
P259,https://static.cricbuzz.com/a/img/v1/i1/c182026/peter-daniel-blignaut.jpg?d=low&p=gthumb,Peter-Daniel Blignaut,Namibia,Bowler,Right Handed Bat,Left-arm orthodox,bowl,RHB,Left,orthodox,peter-daniel blignaut
P260,https://static.cricbuzz.com/a/img/v1/i1/c352470/max-odowd.jpg?d=low&p=gthumb,Max ODowd,Netherlands,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,max odowd
P261,https://static.cricbuzz.com/a/img/v1/i1/c352469/teja-nidamanuru.jpg?d=low&p=gthumb,Teja Nidamanuru,Netherlands,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,teja nidamanuru
P262,https://static.cricbuzz.com/a/img/v1/i1/c352463/vikramjit-singh.jpg?d=low&p=gthumb,Vikramjit Singh,Netherlands,Batsman,Left Handed Bat,Right-arm medium,bat,LHB,Right,medium,vikramjit singh
P263,https://static.cricbuzz.com/a/img/v1/i1/c352464/sybrand-engelbrecht.jpg?d=low&p=gthumb,Sybrand Engelbrecht,Netherlands,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,sybrand engelbrecht
P264,https://static.cricbuzz.com/a/img/v1/i1/c182026/michael-levitt.jpg?d=low&p=gthumb,Michael Levitt,Netherlands,Batting Allrounder,Right Handed Bat,Right-arm fast,ar,RHB,Right,fast,michael levitt
P265,https://static.cricbuzz.com/a/img/v1/i1/c352467/bas-de-leede.jpg?d=low&p=gthumb,Bas de Leede,Netherlands,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,ar,RHB,Right,fast-medium,bas de leede
P266,https://static.cricbuzz.com/a/img/v1/i1/c244612/tim-pringle.jpg?d=low&p=gthumb,Tim Pringle,Netherlands,Bowling Allrounder,Right Handed Bat,Left-arm orthodox,ar,RHB,Left,orthodox,tim pringle
P267,https://static.cricbuzz.com/a/img/v1/i1/c352465/saqib-zulfiqar.jpg?d=low&p=gthumb,Saqib Zulfiqar,Netherlands,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,ar,RHB,Right,legbreak,saqib zulfiqar
P268,https://static.cricbuzz.com/a/img/v1/i1/c352472/scott-edwards.jpg?d=low&p=gthumb,Scott Edwards,Netherlands,WK-Batsman,Right Handed Bat,,wk,RHB,,,scott edwards
P269,https://static.cricbuzz.com/a/img/v1/i1/c352473/wesley-barresi.jpg?d=low&p=gthumb,Wesley Barresi WK-,Netherlands,WK-Batsman,Right Handed Bat,Right-arm offbreak,wk,RHB,Right,offbreak,wesley barresi
P270,https://static.cricbuzz.com/a/img/v1/i1/c352474/logan-van-beek.jpg?d=low&p=gthumb,Logan van Beek,Netherlands,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,logan van beek
P271,https://static.cricbuzz.com/a/img/v1/i1/c352477/aryan-dutt.jpg?d=low&p=gthumb,Aryan Dutt,Netherlands,Bowler,Right Handed Bat,Right-arm offbreak,bowl,RHB,Right,offbreak,aryan dutt
P272,https://static.cricbuzz.com/a/img/v1/i1/c352476/paul-van-meekeren.jpg?d=low&p=gthumb,Paul van Meekeren,Netherlands,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,paul van meekeren
P273,https://static.cricbuzz.com/a/img/v1/i1/c155443/vivian-kingma.jpg?d=low&p=gthumb,Vivian Kingma,Netherlands,Bowler,Right Handed Bat,Right-arm medium,bowl,RHB,Right,medium,vivian kingma
P274,https://static.cricbuzz.com/a/img/v1/i1/c182026/kyle-klein.jpg?d=low&p=gthumb,Kyle Klein,Netherlands,Bowler,Right Handed Bat,Right-arm medium,bowl,RHB,Right,medium,kyle klein
P275,https://static.cricbuzz.com/a/img/v1/i1/c616472/najmul-hossain-shanto.jpg?d=low&p=gthumb,Najmul Hossain Shanto,Bangladesh,Batsman,Left Handed Bat,Right-arm offbreak,bat,LHB,Right,offbreak,najmul hossain shanto
P276,https://static.cricbuzz.com/a/img/v1/i1/c616460/soumya-sarkar.jpg?d=low&p=gthumb,Soumya Sarkar,Bangladesh,Batsman,Left Handed Bat,Right-arm medium,bat,LHB,Right,medium,soumya sarkar
P277,https://static.cricbuzz.com/a/img/v1/i1/c616469/tanzid-hasan-tamim.jpg?d=low&p=gthumb,Tanzid Hasan Tamim,Bangladesh,Batsman,Left Handed Bat,,bat,LHB,,,tanzid hasan tamim
