match_name,team,player_name,overs,maidens,runs,wickets,no_balls,wides,economy,player_name_clean,team_clean,player_id
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Wanindu Hasaranga (c),3.2,0,22,2,0,0,6.6,wanindu hasaranga,SL,P142
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Maheesh Theekshana,1,0,3,0,0,0,3,maheesh theekshana,SL,P149
AFGHANISTAN vs UGANDA,UGANDA,Alpesh Ramjani,4,0,33,1,0,0,8.2,alpesh ramjani,UGA,P220
AFGHANISTAN vs UGANDA,UGANDA,Cosmas Kyewuta,4,0,25,2,0,0,6.2,cosmas kyewuta,UGA,P225
AFGHANISTAN vs UGANDA,UGANDA,Dinesh Nakrani,3,0,37,0,0,0,12.3,dinesh nakrani,UGA,P217
AFGHANISTAN vs UGANDA,UGANDA,Bilal Hassan,2,0,34,0,1,5,17,bilal hassan,UGA,P224
AFGHANISTAN vs UGANDA,UGANDA,Ssenyondo,2,0,19,0,0,1,9.5,henry ssenyondo,UGA,P228
AFGHANISTAN vs UGANDA,UGANDA,Riazat Ali Shah,1,0,11,0,0,0,11,riazat ali shah,UGA,P219
AFGHANISTAN vs UGANDA,UGANDA,Masaba (c),4,0,21,2,0,0,5.2,brian masaba,UGA,P223
AFGHANISTAN vs UGANDA,AFGHANISTAN,Fazalhaq Farooqi,4,0,9,5,0,0,2.2,fazalhaq farooqi,AFG,P180
AFGHANISTAN vs UGANDA,AFGHANISTAN,Mujeeb Ur Rahman,3,0,16,1,0,5,5.3,mujeeb ur rahman,AFG,P177
AFGHANISTAN vs UGANDA,AFGHANISTAN,Naveen-ul-Haq,2,0,4,2,0,1,2,naveen-ul-haq,AFG,P179
AFGHANISTAN vs UGANDA,AFGHANISTAN,Azmatullah Omarzai,2,0,7,0,0,1,3.5,azmatullah omarzai,AFG,P170
AFGHANISTAN vs UGANDA,AFGHANISTAN,Rashid Khan (c),4,0,12,2,0,0,3,rashid khan,AFG,P172
AFGHANISTAN vs UGANDA,AFGHANISTAN,Mohammad Nabi,1,0,8,0,0,0,8,mohammad nabi,AFG,P171
SCOTLAND vs ENGLAND,ENGLAND,Mark Wood,2,0,11,0,1,1,5.5,mark wood,ENG,P45
